title,artist,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad
The Puppet Motel,Laurie Anderson,0.688059508801,0.602026283741,0.125148519874,0.770578503609,0.0758396163583,0.463696837425,0.0800309032202,0.314496487379
Stardust From Tomorrow,Sun Ra,0.590770065784,0.529551267624,0.184356689453,0.145117908716,0.0963785201311,0.691065728664,0.461310893297,0.565041899681
I Had To Do It,Benny Goodman,0.158376142383,0.59607821703,0.00815183389932,0.124759554863,0.974622368813,0.915482282639,0.969687879086,0.596996068954
UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny, Tainy",0.999999880791,0.00623577833176,0.0121389813721,0.878778457642,0.216273188591,0.122795246542,0.562239348888,0.606279075146
Killing For Love,José González,0.0110112512484,0.767317175865,0.00483558280393,0.80302977562,0.270451158285,0.954371035099,0.015917243436,0.514919996262
Christian Names,Atlas Sound,0.0686306133866,0.017531555146,0.331470429897,0.359094113111,0.587989151478,0.430386662483,0.989029765129,0.904435455799
Daytona,Chris Rea,3.00000096379e-14,0.0955892950296,3.00000096379e-14,0.979391694069,0.839725553989,0.999984204769,0.191182896495,0.668984949589
Country Gal Dub,King Tubby Meets Roots Radics,0.968405127525,0.135822191834,0.282925337553,0.491342633963,0.242775514722,0.332138091326,0.594674944878,0.514588952065
Hard Way To Make An Easy Living,The Bellamy Brothers,0.5,0.29106259346,0.054234482348,0.229170650244,0.809686481953,0.429165512323,0.987320125103,0.651980042458
Enough Is Enough,Eli Young Band,0.236491084099,0.44673460722,0.0351811945438,0.177420020103,0.481385201216,0.511738359928,0.712700307369,0.53630977869
"Piano Sonata No. 24 in F-sharp major, Op. 78: I. Adagio cantabile - Allegro ma non troppo",Ludwig van Beethoven,0.00435516890138,0.974278569221,1.04755217762e-05,0.131483614445,0.373007327318,0.997621655464,0.00379730388522,0.427522301674
Hammer to Fall,Queen,0.343661814928,0.0713827684522,0.465964138508,0.233669832349,0.176391452551,0.617475152016,0.980259120464,0.809692800045
Convenient Me,Josie Charlwood & Lef Germenlis,0.136166587472,0.421823501587,0.0128249516711,0.79541605711,0.0329033173621,0.920968651772,0.0516914799809,0.435024946928
Hammer to Fall,Queen,0.0236042980105,0.00794617459178,0.92027425766,0.220716834068,0.363199472427,0.322699576616,0.986626088619,0.758193731308
Expreso rítmico,Ricardo Eddy Martinez,0.444119244814,0.20593097806,0.125710785389,0.845991015434,0.175118118525,0.0664041563869,0.705860733986,0.755016803741
The One With the Wurlitzer,American Football,0.0214086659253,0.95413428545,4.47067304776e-06,0.252952218056,0.798364460468,0.99115973711,0.00856889691204,0.155924901366
Christian Names,Atlas Sound,0.0686184540391,0.0175362676382,0.331487566233,0.359087616205,0.587974607944,0.430409103632,0.989028632641,0.90448641777
Killing For Love,Jose Gonzalez,0.0287298932672,0.807452261448,0.00399699760601,0.667183756828,0.24266718328,0.984862923622,0.0141018303111,0.411807388067
Cole World,J. Cole,0.999992132187,1.1256878679e-05,3.31552107546e-14,0.943999767303,0.371460318565,0.933465659618,0.212004348636,0.846572339535
Mercy I Cry City,The Incredible String Band,0.640805900097,0.711455106735,0.0473137572408,0.103982262313,0.943666279316,0.60284858942,0.810664474964,0.569436132908
Only You,Gio Maxx,0.0854075923562,0.965291500092,0.00527880713344,0.480771809816,0.0438504554331,0.987165689468,0.0250859055668,0.123908050358
Give You (Jamie Lewis House Cut),Djaimin Feat. Crystal Re-Clear,0.999939441681,0.00475285761058,0.692613840103,0.965199708939,0.135850846767,0.0425987318158,0.413503676653,0.687108516693
Stardust From Tomorrow,Sun Ra,0.590745925903,0.529524147511,0.184385508299,0.145105585456,0.0965593233705,0.691078066826,0.461500704288,0.565026342869
El Cu Cu,Bobby Capó,0.29497012496,0.515249550343,0.0279865730554,0.526674449444,0.5,0.769161105156,0.0462572202086,0.509814739227
That Certain Female,Charlie Feathers,0.958191514015,0.087723441422,0.289760142565,0.425016373396,0.406714677811,0.381444513798,0.275651395321,0.778031051159
Past Forty Blues,Jimmy Witherspoon/Brother Jack McDuff,0.142509579659,0.681578159332,0.0470131523907,0.385502368212,0.016611861065,0.739530563354,0.336055755615,0.529115140438
We Don't Talk Anymore,Cliff Richard,0.605641126633,0.0936214700341,0.173193380237,0.374157637358,0.941251814365,0.0979703515768,0.5,0.523522257805
Honky Tonk Women,Ike & Tina Turner,0.253360271454,0.0594798997045,0.0539337582886,0.5,0.84272390604,0.265378206968,0.9803596735,0.886834263802
Je Prends Le Large,Tal,0.63223361969,0.978029727936,3.60172558445e-09,0.101228743792,0.445243805647,0.869177043438,0.29938942194,0.243152245879
Heal Yourself,Ruthie Foster,0.421558469534,0.878366470337,0.00954446569085,0.435982704163,0.307090193033,0.8386901021,0.693056702614,0.605783700943
Henry Martin,Bert Jansch,0.0221982803196,0.888086378574,1.35624668474e-05,0.125122770667,0.599664032459,0.887075841427,0.0353938601911,0.368283957243
Ný batterí,Sigur Rós,0.999999880791,0.0955903604627,0.999999880791,0.979391694069,0.0097505543381,0.999984204769,0.191182896495,0.615074157715
Rolling in the Deep,The Piano Guys,0.0835150927305,0.557575821877,0.055403534323,0.849586308002,0.0568633936346,0.951300919056,0.00450895586982,0.523302257061
Let's Have A Party,Wanda Jackson,0.594232857227,0.209774374962,0.00276717264205,0.0586082339287,0.636567413807,0.720853209496,0.610419869423,0.750266671181
Main Title / The Lion in Winter,John Barry,0.0857969149947,0.481752932072,0.158164083958,0.786244630814,0.984829485416,0.643942832947,0.18896792829,0.554744958878
Peggy Sue,Buddy Holly,0.121599338949,0.778990864754,0.0162918362767,0.23556317389,0.382631540298,0.856623291969,0.33371964097,0.197210237384
UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny, Tainy",0.999999880791,0.00623880140483,0.012140753679,0.878780543804,0.216270774603,0.122614085674,0.562476754189,0.60637152195
Killing For Love,José González,0.0110011138022,0.766619682312,0.00483548687771,0.80294585228,0.270598709583,0.954182505608,0.0159308742732,0.514875888824
Popurri Boleros∶ Reloj ⁄ El Andariego ⁄ Cuando Ya No Me Quieras ⁄ Si Dios Me Quita La Vida ⁄ Perfidia ⁄ Bonita ⁄ Luz Y Sombra,Alejandro Fernandez,0.418869614601,0.996435523033,0.0083390539512,0.647260069847,0.292232334614,0.856059253216,0.409069895744,0.638464510441
Warm Seas (Rewired),The Pineapple Thief,0.88297778368,0.0596758425236,0.31058844924,0.697675585747,0.0965454205871,0.520746767521,0.358879506588,0.785225331783
"Popurrí Boleros: Reloj, El Andariego, Cuando Ya No Me Quieras, Si Dios Me Quita La Vida, Perfidia, Bonita, Luz y Sombra",Alejandro Fernández,0.436083942652,0.995562195778,0.00688507081941,0.652213513851,0.297582119703,0.849840521812,0.206436395645,0.639655947685
UN DIA (ONE DAY),"J Balvin, Dua Lipa, Bad Bunny, Tainy",0.999999880791,0.00623138761148,0.0121402405202,0.8787946105,0.216422870755,0.122630700469,0.562418162823,0.606325089931
Killing For Love,Jose Gonzalez,0.0287307240069,0.80750888586,0.00399707397446,0.667157232761,0.242673501372,0.984870016575,0.0141014177352,0.411806344986
Shadow Act V,The Secret Whistle,5.27315821217e-12,0.186230435967,3.00000096379e-14,0.908486962318,0.0263795237988,0.999990463257,0.191182896495,0.132873356342
I Turn To You,Melanie C,0.998128294945,1.23035479191e-05,0.547225356102,0.961072564125,0.414687842131,0.13715262711,0.876150369644,0.810468792915
Peggy Sue,Buddy Holly,0.121648184955,0.77884542942,0.0162878893316,0.235509499907,0.382665663958,0.856914043427,0.333427906036,0.197112113237
When the Roses Die,Merle Haggard & the Strangers,0.266609221697,0.617716431618,0.040437232703,0.0570847168565,0.487572908401,0.780453920364,0.968662977219,0.338974267244
Splish Splash,Bobby Darin,0.677459836006,0.285083174706,0.193020284176,0.296899884939,0.874728322029,0.267227470875,0.943685352802,0.884777605534
I Don't Know,Salt 'N' Pepa,0.767585456371,0.288693398237,0.17267857492,0.483859628439,0.5,0.352170020342,0.406925022602,0.73905223608
We Don't Talk Anymore,Cliff Richard,0.605420649052,0.0940633192658,0.172261565924,0.378627121449,0.940901219845,0.0982576087117,0.490476220846,0.520485818386
That Certain Female,Charlie Feathers,0.95817899704,0.0878458991647,0.289743483067,0.424912422895,0.406723380089,0.381617337465,0.275592088699,0.778226315975
Splish Splash,Bobby Darin,0.67771923542,0.284539073706,0.192969158292,0.29684227705,0.875195801258,0.268353432417,0.9436891675,0.884785950184
Henry Martin,Bert Jansch,0.02219328098,0.888025164604,1.35592945298e-05,0.125190705061,0.599604487419,0.887314915657,0.03536792472,0.368261665106
Taking Place in You (Meditation mix),Eternal Basement,0.592570006847,0.527601897717,0.0782692283392,0.825825214386,0.209709867835,0.448099464178,0.0100989909843,0.651018440723
Before The Crash,Gary Beck,0.999999880791,2.58625781381e-12,0.165948882699,0.995982706547,0.844858586788,0.0122684631497,0.892451107502,0.760604739189
It Don't Mean A Doggone Thing,John Mooney,0.539081573486,0.180115014315,0.191884621978,0.328109562397,0.715295433998,0.218262910843,0.0937834903598,0.701696395874
That Certain Female,Charlie feathers,0.958189666271,0.0877359211445,0.289738237858,0.425076156855,0.406689018011,0.381435930729,0.27560788393,0.778237462044
Fascinating Rhythm,Morgana King,0.280049175024,0.995458006859,0.00630262400955,0.155356168747,0.228512704372,0.974141895771,0.0463552363217,0.148033499718
Popurrí boleros: Reloj / El andariego / Cuando ya no me quieras / Si Dios me quita la vida / Perfidia / Bonita / Luz y sombra,Alejandro Fernández,0.436072051525,0.995562076569,0.00688537536189,0.652213811874,0.297600209713,0.849833250046,0.20643466711,0.639655947685
Heat of the Moment,Asia,0.241029679775,0.0390825271606,0.195302322507,0.290535062551,0.879956781864,0.214664518833,0.767607152462,0.861023128033
Living Doll,Cliff Richard & The Young Ones,0.874159991741,0.772985935211,0.00554810650647,0.086358897388,0.535121798515,0.564977705479,0.989535808563,0.515726745129
Wait Till You See Her,Joni James,0.025012312457,0.997060716152,0.109721310437,0.368355304003,0.394642144442,0.987132370472,0.10098862648,0.0718428716063
Not if you are the last junkie on Earth,Dandy Warhold,0.99413895607,1.54703157023e-05,0.977598845959,0.653434634209,0.272791147232,0.284751474857,0.634615898132,0.766509115696
Peggy Sue,Buddy Holly,0.121678739786,0.778877556324,0.0162869486958,0.235405370593,0.382917374372,0.856789469719,0.333647727966,0.197050049901
Family Reunion,Blink 182,0.909455537796,0.157829344273,3.28609985445e-06,0.128989905119,0.559126973152,0.611597299576,0.621982932091,0.46789008379
Tell Me,Nixon,0.928209483624,0.225724324584,0.0220802333206,0.854423940182,0.59978300333,0.595017492771,0.411518901587,0.697351336479
"Piano Sonata no. 28 in A major, op. 101: I. Etwas lebhaft und mit der innigsten Empfindung. Allegretto, ma non troppo",Ludwig van Beethoven,1.4105570699e-05,0.997931361198,2.99763178191e-06,0.0444976426661,0.185664057732,0.99942868948,0.00306136556901,0.204904451966
Is It In?,"Jimmy ""Bo"" Horne",0.938448250294,0.135506406426,0.222080752254,0.479506522417,0.113874964416,0.304569482803,0.530627965927,0.825490415096
Hawa Hawa [Wind],The Bollywood Brass Band,0.682454407215,0.109155312181,0.691224038601,0.689014077187,0.749198019505,0.267726153135,0.906236886978,0.852221488953
Unknown Album,Unknown Artist,0.999973654747,0.0115866987035,0.0465311594307,0.985203802586,0.31495898962,0.122557789087,0.563341617584,0.723430991173
Immer heiterer (Walzer im Landlerstyle) [Op. 235],"Czecho-Slovak State Philharmonic Orchestra (Košice), cond. Johannes Wildner",0.00952377729118,0.767467856407,0.00860774517059,0.823093831539,0.565880835056,0.995395481586,0.112613216043,0.64558327198
Tourist,Miranda Lambert,0.771818697453,0.806732654572,0.0772637352347,0.327116727829,0.26254761219,0.855173289776,0.0448715724051,0.405188977718
Monsta,Culcha Candela,0.999635875225,0.0379943624139,0.0255836062133,0.939037621021,0.297471612692,0.355086416006,0.262119114399,0.576669096947
The River,Bruce Springsteen & The E Street Band,0.177522554994,0.694633841515,0.00933894515038,0.256851196289,0.507134258747,0.845349729061,0.695088326931,0.450850635767
Gary Beck - Before The Crash (Original Mix),Gary Beck,0.999999880791,2.58410003465e-12,0.165927052498,0.995980799198,0.844830572605,0.0122895771638,0.892521977425,0.760604739189
We Don't Talk Anymore,Cliff Richard,0.60543847084,0.0937566682696,0.172274529934,0.378782868385,0.94109493494,0.0981301218271,0.490454316139,0.52049767971
Reloj / El Andariego / Cuando ya no Me Quieras / Si Dios me Quita la Vida / Perfidia / Bonita / Luz y Sombra,Alejandro Fernández,0.41886895895,0.996435523033,0.00833907350898,0.647260069847,0.292232364416,0.856057524681,0.409071356058,0.638464510441
No Toquen,Charly Garcia,0.0139744449407,9.44459497987e-06,0.98934006691,0.0755471885204,0.568226635456,0.379064321518,0.973820209503,0.91671693325
It Don't Mean A Doggone Thing,John Mooney,0.543820559978,0.191931769252,0.191526949406,0.319705754519,0.703333616257,0.218634262681,0.105972714722,0.688687324524
Before The Crash,Gary Beck,0.999999880791,2.58421192431e-12,0.165932282805,0.995982050896,0.844991505146,0.0122843328863,0.892466723919,0.760604739189
Walk Don't Run,John Barry,0.0715686455369,0.0220229309052,0.698364377022,0.278140246868,0.989613413811,0.261220425367,0.93106931448,0.903403878212
Taking Place in You (Meditation mix),Eternal Basement,0.592660605907,0.527808964252,0.0782696977258,0.825799524784,0.209731847048,0.448473125696,0.0100933788344,0.651018440723
Henry Martin,Bert Jansch,0.0222339872271,0.887659370899,1.35664413392e-05,0.125085487962,0.599901914597,0.887397944927,0.0353009030223,0.368333727121
Splish Splash,Bobby Darin,0.677155137062,0.285728424788,0.193099081516,0.296899914742,0.874658465385,0.265706658363,0.943707823753,0.884794175625
hot girl bummer,blackbear,0.91201120615,0.148148670793,0.0431390069425,0.889511346817,0.617413818836,0.196262076497,0.138921171427,0.680227518082
"Reloj, el andariego, Cuando ya no me quieras, Si Dios me quita la vida, Perfidia, Bonita, Luz y sombra.",Alejandro Fernández,0.436080932617,0.995562374592,0.00688520725816,0.652214825153,0.297584414482,0.849822700024,0.206444203854,0.639655947685
Killing For Love,José González,0.0110387150198,0.767517328262,0.00483168009669,0.803164422512,0.269830644131,0.954577744007,0.0158631261438,0.514989078045
There's Poison in Your Heart,Kitty Wells,0.0893567577004,0.693677008152,9.82472101896e-07,0.0691207051277,0.994606554508,0.819372832775,0.356512606144,0.195536062121
Mercy I Cry City,The Incredible String Band,0.640751481056,0.711454331875,0.0473141297698,0.10396848619,0.943718016148,0.602928638458,0.810659706593,0.569549024105
Only You,Gio Maxx,0.0854163691401,0.965284883976,0.00527862273157,0.480774611235,0.0438799858093,0.987169861794,0.0250835046172,0.124020807445
Unknown Album,Unknown Artist,0.999973654747,0.0115851536393,0.0465330034494,0.985203921795,0.314980536699,0.122524380684,0.563356399536,0.723430991173
Country Gal Dub,King Tubby Meets Roots Radics,0.96840929985,0.135843381286,0.282883107662,0.491292625666,0.242763653398,0.332642048597,0.594431817532,0.514588952065
The Puppet Motel,Laurie Anderson,0.687959015369,0.602093100548,0.12516091764,0.77074432373,0.0758220553398,0.463191181421,0.0799895823002,0.314210414886
I Don't Wanna Be,Ashley Monroe,0.700410246849,0.778843104839,0.0502545014024,0.373585581779,0.574248850346,0.758948564529,0.0848699361086,0.467947721481
Immensamente (single remix version),Umberto Tozzi,0.995041310787,0.0857261642814,0.108592100441,0.352456718683,0.374754101038,0.247953653336,0.865203499794,0.67798858881
(Can't Get My) Head Around You,The Offspring,0.171010509133,0.0149211669341,0.476752221584,0.154233291745,0.239040419459,0.553059399128,0.994456529617,0.875800430775
Taking Place in You (Meditation mix),Eternal Basement,0.592677116394,0.527631700039,0.078266069293,0.825858414173,0.209552690387,0.44833278656,0.0100992908701,0.651018440723
It Grows Again,"Tom Demac, Will Samson",0.999943971634,0.0101893059909,0.0247942507267,0.966884613037,0.0180299486965,0.600703060627,0.0265432111919,0.638402700424
Little Soul,Depeche Mode,0.295166730881,0.205209925771,0.377903729677,0.858526229858,0.0373303666711,0.842411756516,0.40947252512,0.472666442394
Taking Place In You (Meditation Mix),Eternal Basement,0.592592060566,0.52771538496,0.0782715082169,0.825833141804,0.209593623877,0.448103219271,0.0101007819176,0.651018440723
(Can't Get My) Head Around You,The Offspring,0.179214030504,0.0149560878053,0.435327023268,0.152023434639,0.22705693543,0.537608623505,0.994619369507,0.872312963009
Immensamente,Umberto Tozzi,0.960991203785,0.380382537842,0.160073876381,0.285155802965,0.236444622278,0.490601032972,0.842828392982,0.637176215649
Better Believe It,The Kingsmen,0.0577743314207,0.0194141622633,0.539461255074,0.85736489296,0.999963641167,0.0314615815878,0.192744016647,0.819217085838
Hit the Road to Dreamland,Dr. John,0.348174989223,0.91826570034,0.0853656157851,0.344498246908,0.206605449319,0.682645976543,0.0183226130903,0.416710495949
As Good as My Love (Bart B More Secured Refix),L.B.G.,0.999999880791,2.71645990324e-06,0.00376682821661,0.854206800461,0.817264735699,0.135678052902,0.895373106003,0.72348088026
The Puppet Motel,Laurie Anderson,0.687999784946,0.60191732645,0.125156447291,0.770761489868,0.0757490545511,0.463915020227,0.0798930600286,0.314293563366
Country Gal Dub,King Tubby Meets Roots Radics,0.968412995338,0.135731980205,0.282897114754,0.491342097521,0.242702230811,0.332455188036,0.594385802746,0.514588952065
Only You,Gio Maxx,0.0854128524661,0.965273916721,0.00527849048376,0.480811595917,0.0438503995538,0.987172305584,0.0250728707761,0.123907744884
Mercy I Cry City,The Incredible String Band,0.640852987766,0.711486458778,0.0473105497658,0.103979222476,0.943696379662,0.603120625019,0.810582458973,0.56941896677
Hammer to Fall,Queen,0.343807846308,0.0713268369436,0.465861022472,0.233678773046,0.176297679543,0.617929637432,0.980255246162,0.809664309025
Killing For Love,Jose Gonzalez,0.0287253316492,0.807492375374,0.00399724859744,0.667159438133,0.242680341005,0.984866976738,0.0140996808186,0.412022471428
Christian Names,Atlas Sound,0.0686182901263,0.0175334475935,0.331489056349,0.359066277742,0.588038623333,0.430309832096,0.989031434059,0.904468953609
